title,authors,journal,year,doi,source_db,search_term,fetched_at,url,idioma
Governance regime and location influence avoided deforestation success of protected areas in the Brazilian Amazon,Christoph Nolte; Arun Agrawal; Kirsten M. Silvius; Britaldo Soares‐Filho,Proceedings of the National Academy of Sciences,2013,https://doi.org/10.1073/pnas.1214786110,OpenAlex,deforestation brazil,2026-03-07,NA,en
Ten-Year Landsat Classification of Deforestation and Forest Degradation in the Brazilian Amazon,Carlos Souza; João Victor Siqueira; Márcio Sales; Antônio V. Fonseca; Júlia Ribeiro,Remote Sensing,2013,https://doi.org/10.3390/rs5115493,OpenAlex,deforestation brazil,2026-03-07,NA,en
Economic Causes of Deforestation in the Brazilian Amazon: A Panel Data Analysis for the 2000s,Jorge Hargrave; Krisztina Kis‐Katos,Environmental and Resource Economics,2012,https://doi.org/10.1007/s10640-012-9610-2,OpenAlex,deforestation brazil,2026-03-07,NA,en
Landsat capturesimpact of deforestation in Brazil,Amit,New Scientist,2012,10.1016/s0262-4079(12)62261-1,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1016/s0262-4079(12)62261-1,en
Deforestation rises as Brazil debates protection laws,NA,New Scientist,2011,10.1016/s0262-4079(11)61219-0,CrossRef,deforestation brazil,2026-03-07,https://doi.org/10.1016/s0262-4079(11)61219-0,en
"Evidence that deforestation affects the onset of the rainy season in Rondonia, Brazil",Nathalie Butt; Paula Afonso de Oliveira; Marcos Heil Costa,Journal of Geophysical Research Atmospheres,2011,https://doi.org/10.1029/2010jd015174,OpenAlex,deforestation brazil,2026-03-07,NA,en
Including Carbon Emissions from Deforestation in the Carbon Footprint of Brazilian Beef,Christel Cederberg; U. Martin Persson; Kristian Neovius; Sverker Molander; Roland Clift,Environmental Science & Technology,2011,https://doi.org/10.1021/es103240z,OpenAlex,deforestation brazil,2026-03-07,NA,en
"The effects of deforestation and climate variability on the streamflow of the Araguaia River, Brazil",Michael T. Coe; Edgardo M. Latrubesse; Manuel Eduardo Ferreira; Mario L. Amsler,Biogeochemistry,2011,https://doi.org/10.1007/s10533-011-9582-2,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Deforestation and Malaria in Mâncio Lima County, Brazil",Sarah H. Olson; Ronald E. Gangnon; Guilherme Abbad Silveira; Jonathan A. Patz,Emerging infectious diseases,2010,https://doi.org/10.3201/eid1607.091785,OpenAlex,deforestation brazil,2026-03-07,NA,pt_es
The role of pasture and soybean in deforestation of the Brazilian Amazon,Elizabeth Barona; Navin Ramankutty; Glenn Hyman; Oliver T. Coomes,Environmental Research Letters,2010,https://doi.org/10.1088/1748-9326/5/2/024002,OpenAlex,deforestation brazil,2026-03-07,NA,en
Effects of Amazon and Central Brazil deforestation scenarios on the duration of the dry season in the arc of deforestation,Marcos Heil Costa; Gabrielle Ferreira Pires,International Journal of Climatology,2009,https://doi.org/10.1002/joc.2048,OpenAlex,deforestation brazil,2026-03-07,NA,en
Property rights and deforestation in the Brazilian Amazon,Claudio Araujo; Catherine Araujo Bonjean; Jean‐Louis Combes; Pascale Combes Motel; Eustáquio J. Reis,Ecological Economics,2009,https://doi.org/10.1016/j.ecolecon.2008.12.015,OpenAlex,deforestation brazil,2026-03-07,NA,en
The End of Deforestation in the Brazilian Amazon,Daniel C. Nepstad; Britaldo Soares‐Filho; Frank Merry; André Lima; Paulo Moutinho,Science,2009,https://doi.org/10.1126/science.1182108,OpenAlex,deforestation brazil,2026-03-07,NA,en
Forest fragmentation and edge effects from deforestation and selective logging in the Brazilian Amazon,Eben N. Broadbent; Gregory P. Asner; Michael Keller; David Knapp; Paulo J. C. Oliveira,Biological Conservation,2008,https://doi.org/10.1016/j.biocon.2008.04.024,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Interactions between rainfall, deforestation and fires during recent years in the Brazilian Amazonia",Luiz E. O. C. Aragão; Yadvinder Malhi; Nicolas Barbier; André Lima; Yosio Edemir Shimabukuro,Philosophical Transactions of the Royal Society B Biological Sciences,2008,https://doi.org/10.1098/rstb.2007.0026,OpenAlex,deforestation brazil,2026-03-07,NA,en
The Roles and Movements of Actors in the Deforestation of Brazilian Amazonia,Philip M. Fearnside,Ecology and Society,2008,https://doi.org/10.5751/es-02451-130123,OpenAlex,deforestation brazil,2026-03-07,NA,en
"ROAD INVESTMENTS, SPATIAL SPILLOVERS, AND DEFORESTATION IN THE BRAZILIAN AMAZON*",Alexander Pfaff; Juan Robalino; Robert Walker; Stephen Aldrich; Marcellus M. Caldas,Journal of Regional Science,2007,https://doi.org/10.1111/j.1467-9787.2007.00502.x,OpenAlex,deforestation brazil,2026-03-07,NA,en
Cropland expansion changes deforestation dynamics in the southern Brazilian Amazon,Douglas C. Morton; Ruth S. DeFries; Yosio Edemir Shimabukuro; Liana O. Anderson; Egídio Arai,Proceedings of the National Academy of Sciences,2006,https://doi.org/10.1073/pnas.0606377103,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Deforestation in Brazilian Amazonia: History, Rates, and Consequences",Philip M. Fearnside,Conservation Biology,2005,https://doi.org/10.1111/j.1523-1739.2005.00697.x,OpenAlex,deforestation brazil,2026-03-07,NA,en
The future of deforestation in the Brazilian Amazon,Kathryn R. Kirby; William F. Laurance; Ana Luisa Albernaz; Götz Schroth; Philip M. Fearnside,Futures,2005,https://doi.org/10.1016/j.futures.2005.07.011,OpenAlex,deforestation brazil,2026-03-07,NA,en
Causes of Deforestation of the Brazilian Amazon,Sérgio Margulis,World Bank working paper,2003,https://doi.org/10.1596/0-8213-5691-7,OpenAlex,deforestation brazil,2026-03-07,NA,en
Predictors of deforestation in the Brazilian Amazon,William F. Laurance; Ana Luisa Albernaz; Götz Schroth; Philip M. Fearnside; Scott Bergen,Journal of Biogeography,2002,https://doi.org/10.1046/j.1365-2699.2002.00721.x,OpenAlex,deforestation brazil,2026-03-07,NA,en
Space-time dynamics of deforestation in Brazilian Amazônia,Diógenes Salas Alves,International Journal of Remote Sensing,2002,https://doi.org/10.1080/01431160110096791,OpenAlex,deforestation brazil,2026-03-07,NA,pt_es
The Dynamics of Deforestation and Economic Growth in the Brazilian Amazon,Lykke E. Andersen; Clive W. J. Granger; Eustáquio J. Reis; Diana Weinhold; Sven Wunder,Cambridge University Press eBooks,2002,https://doi.org/10.1017/cbo9780511493454,OpenAlex,deforestation brazil,2026-03-07,NA,en
Is deforestation accelerating in the Brazilian Amazon?,William F. Laurance; Ana Luisa Albernaz; Carlos da Silva Costa,Environmental Conservation,2001,https://doi.org/10.1017/s0376892901000339,OpenAlex,deforestation brazil,2026-03-07,NA,en
Annual fluxes of carbon from deforestation and regrowth in the Brazilian Amazon,R. A. Houghton; David L. Skole; Carlos A. Nobre; J. L. Hackler; K. T. Lawrence,Nature,2000,https://doi.org/10.1038/35002062,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation and Cattle Ranching in the Brazilian Amazon: External Capital and Household Processes,Robert Walker; Emilio F. Morán; Luc Anselin,World Development,2000,https://doi.org/10.1016/s0305-750x(99)00149-7,OpenAlex,deforestation brazil,2026-03-07,NA,en
"Land Reform Policies, the Sources of Violent Conflict, and Implications for Deforestation in the Brazilian Amazon",Lee J. Alston; Gary D. Libecap; Bernardo Mueller,Journal of Environmental Economics and Management,2000,https://doi.org/10.1006/jeem.1999.1103,OpenAlex,deforestation brazil,2026-03-07,NA,en
What Drives Deforestation in the Brazilian Amazon?,Alexander Pfaff,Journal of Environmental Economics and Management,1999,https://doi.org/10.1006/jeem.1998.1056,OpenAlex,deforestation brazil,2026-03-07,NA,en
GREENHOUSE GASES FROM DEFORESTATION IN BRAZILIAN AMAZONIA: NET COMMITTED EMISSIONS,Philip M. Fearnside,Climatic Change,1997,https://doi.org/10.1023/a:1005336724350,OpenAlex,deforestation brazil,2026-03-07,NA,en
Deforestation and land use in the Brazilian Amazon,Emilio F. Morán,Human Ecology,1993,https://doi.org/10.1007/bf00890069,OpenAlex,deforestation brazil,2026-03-07,NA,en
Smoke and fire characteristics for cerrado and deforestation burns in Brazil: BASE‐B Experiment,Darold E. Ward; Ronald A. Susott; J. Boone Kauffman; Ronald E. Babbitt; Dian L. Cummings,Journal of Geophysical Research Atmospheres,1992,https://doi.org/10.1029/92jd01218,OpenAlex,deforestation brazil,2026-03-07,NA,en
Brazilian policies that encourage deforestation in the Amazon,Mark R. Rosenzweig,World Development,1991,https://doi.org/10.1016/0305-750x(91)90135-5,OpenAlex,deforestation brazil,2026-03-07,NA,en
